,question,a,b,c,d,e,correct
0,"
Правильно підкреслено літеру на позначення наголошеного звука в слові
",олень,колесо,читання,випадок,,b
1,"
Частку не треба писати разом у варіанті
",не/зовсім зрозумілий,зошит не/підписано,не/всі з цим обізнані,не/забутня подорож,,d
2,"
Суфікс -ов- має прикметник, утворений від іменника
",плащ,читач,ситець,насіння,,a
3,"
Помилково вжито слово в рядку
",розв'язувати задачу,уникнути небезпеки,заказати букет квітів,перекладати болгарською,,c
4,"
Неправильно утворено форму слова у варіанті
",пане Костянтине,для всіх дослідників,восьмидесяти років,візьмімо участь,,c
5,"
Спонукальним є речення
",Жінки втомились бути непрекрасними.,"За правду, браття, єднаймось щиро.","Весна прийшла, та якось несподівано!","Шматок змелі, ти звешся Україною.",,b
6,"
Прочитайте текст і виконайте завдання

(1) Боляче буває дивитися, як падає зірка. (2) Як/би хотілося запримітити, звідки вона зірвалася й куди мала б упасти спіткнувшись на рівному місці. (3) Дивишся у високий морок, де щойно був залишений слід. (4) Дивишся, вражений, сподіваючись, що не вмерла зірка, що спалахне вона в іншому місці. (5) Про/те ні, не спалахнула. (6) А потім не встигаєш помічати, де й котра зірка зірвалася, полетіла до/низу. (7) Що їх манить туди? (8) Що жене їх стрімкими табунами? (9) Яка непереможна сила старої землі? (10) Чи не та сама сила, що пробуджує в мене любов до неї, що все тримає на цьому світі? (11) Оглянься! (12) Прожиті твої дні летять слідом за тобою, що/миті згасаючи в темряві минулого...

Фразеологізмом є вислів
",на рівному місці,високий морок,не вмерла зірка,темрява минулого,,a
7,"
Прочитайте текст і виконайте завдання
(1) Боляче буває дивитися, як падає зірка. (2) Як/би хотілося запримітити, звідки вона зірвалася й куди мала б упасти спіткнувшись на рівному місці. (3) Дивишся у високий морок, де щойно був залишений слід. (4) Дивишся, вражений, сподіваючись, що не вмерла зірка, що спалахне вона в іншому місці. (5) Про/те ні, не спалахнула. (6) А потім не встигаєш помічати, де й котра зірка зірвалася, полетіла до/низу. (7) Що їх манить туди? (8) Що жене їх стрімкими табунами? (9) Яка непереможна сила старої землі? (10) Чи не та сама сила, що пробуджує в мене любов до неї, що все тримає на цьому світі? (11) Оглянься! (12) Прожиті твої дні летять слідом за тобою, що/миті згасаючи в темряві минулого...

Окремо в цьому тексті треба писати
",як/би,про/те,до/низу,що/миті,,a
8,"
Прочитайте текст і виконайте завдання
(1) Боляче буває дивитися, як падає зірка. (2) Як/би хотілося запримітити, звідки вона зірвалася й куди мала б упасти спіткнувшись на рівному місці. (3) Дивишся у високий морок, де щойно був залишений слід. (4) Дивишся, вражений, сподіваючись, що не вмерла зірка, що спалахне вона в іншому місці. (5) Про/те ні, не спалахнула. (6) А потім не встигаєш помічати, де й котра зірка зірвалася, полетіла до/низу. (7) Що їх манить туди? (8) Що жене їх стрімкими табунами? (9) Яка непереможна сила старої землі? (10) Чи не та сама сила, що пробуджує в мене любов до неї, що все тримає на цьому світі? (11) Оглянься! (12) Прожиті твої дні летять слідом за тобою, що/миті згасаючи в темряві минулого...

Простим реченням з відокремленою обставиною є
",друге,четверте,шосте,дванадцяте,,d
9,"
Прочитайте текст і виконайте завдання
(1) Боляче буває дивитися, як падає зірка. (2) Як/би хотілося запримітити, звідки вона зірвалася й куди мала б упасти спіткнувшись на рівному місці. (3) Дивишся у високий морок, де щойно був залишений слід. (4) Дивишся, вражений, сподіваючись, що не вмерла зірка, що спалахне вона в іншому місці. (5) Про/те ні, не спалахнула. (6) А потім не встигаєш помічати, де й котра зірка зірвалася, полетіла до/низу. (7) Що їх манить туди? (8) Що жене їх стрімкими табунами? (9) Яка непереможна сила старої землі? (10) Чи не та сама сила, що пробуджує в мене любов до неї, що все тримає на цьому світі? (11) Оглянься! (12) Прожиті твої дні летять слідом за тобою, що/миті згасаючи в темряві минулого...

Пунктуаційну помилку допущено в реченні
",другому,четвертому,десятому,дванадцятому,,a
10,"
Однакова кількість звуків і букв у кожному слові рядка
","п'ятниць, їстоньки, яблунька","якість, кукурудза, український","гайок, об'єднування, сьогодення","серйозний, щебечуть, джміль","рюкзак, перемивають, кар'єра",a
